"","ID","estaacion","Distance"
"439",439,"HGM",0.020222575566
"440",440,"MER",0.0154727988476
"441",441,"MER",0.0190237476849
"442",442,"COY",0.0213141584232
"443",443,"MCM",0.0251821814815
"444",444,"IZT",0.025515951329
"445",445,"PED",0.0192124013235
"446",446,"MGH",0.0330442101179
"447",447,"PED",0.0168310159865
"448",448,"NEZ",0.043789079112
"449",449,"HGM",0.0183700346337
"450",450,"CUA",0.0193287431479
"451",451,"TEC",0.0338239072264
"452",452,"MCM",0.0201516126348
"453",453,"HGM",0.0242355759651
"454",454,"HGM",0.0238760792089
"455",455,"MER",0.019345757118
"456",456,"MER",0.0223566650738
"457",457,"COY",0.0235752989176
"458",458,"CAM",0.0420759355441
"459",459,"MER",0.0218341706788
"460",460,"AJM",0.0425896032728
"461",461,"UIZ",0.062778138403
"462",462,"MGH",0.0350434904855
"463",463,"HGM",0.0202152889182
"464",464,"NEZ",0.0588424464041
"465",465,"IZT",0.0359073453193
"466",466,"IBM",0.0297330159133
"467",467,"UIZ",0.0457418481008
"468",468,"MGH",0.034065499996
"469",469,"MER",0.0155579736011
"470",470,"NEZ",0.0424683781183
"471",471,"IZT",0.0411906422625
"472",472,"HGM",0.026543408071
"473",473,"MER",0.0191053500357
"474",474,"CCA",0.0437940423368
"475",475,"HGM",0.0251460992848
"476",476,"BJU",0.0266362403973
"477",477,"MGH",0.0341307131788
"478",478,"MCM",0.0266271016097
"479",479,"MCM",0.0275459140613
"480",480,"HGM",0.0236618709838
"481",481,"MER",0.0218541723759
"482",482,"MER",0.0239072111664
"483",483,"HGM",0.0210759785977
"484",484,"MER",0.0216943112121
"485",485,"MCM",0.0249784617801
"486",486,"HGM",0.024523220384
"487",487,"MCM",0.0249685387609
"488",488,"COY",0.0212974848921
"489",489,"COY",0.0414217284164
"490",490,"MER",0.0224403472038
"491",491,"MER",0.0371058760774
"492",492,"SHA",0.0313275109806
"493",493,"MER",0.0145022651583
"494",494,"MER",0.0291329862999
"495",495,"HGM",0.0289852710625
"496",496,"HGM",0.0292487956245
"497",497,"HGM",0.0294351101936
"498",498,"HGM",0.0284321714167
"499",499,"MER",0.021001079857
"500",500,"MER",0.0201611727313
"501",501,"HGM",0.0196805260319
"502",502,"HGM",0.0179279957142
"503",503,"MCM",0.0357922929983
"504",504,"HGM",0.0199284100332
"505",505,"MCM",0.0198274426573
"506",506,"CCA",0.0198964946661
"507",507,"TAH",0.0163104938034
"508",508,"MER",0.0147387053554
"509",509,"HGM",0.0260780972137
"510",510,"HGM",0.0264613005122
"511",511,"UIZ",0.0713883878132
"512",512,"MCM",0.0223178211814
"513",513,"MER",0.0302793636893
"514",514,"MCM",0.0161167488969
"515",515,"MCM",0.0149403688605
"516",516,"MCM",0.0133576319916
"517",517,"MCM",0.0356782687045
"518",518,"BJU",0.0227577415845
"519",519,"MCM",0.0229986471485
"520",520,"MER",0.0152738487449
"521",521,"MER",0.0218435344378
"522",522,"PED",0.0192559538028
"523",523,"MCM",0.0356341183858
"524",524,"CAM",0.0361726252915
"525",525,"MCM",0.0251126169899
"526",526,"MER",0.0242610885627
"527",527,"HGM",0.0243741746346
"528",528,"IZT",0.0377572971691
"529",529,"MCM",0.0177852806144
"530",530,"HGM",0.0241292070351
"531",531,"CCA",0.0324188080756
"532",532,"TAH",0.0447487573964
"533",533,"HGM",0.0245738843521
"534",534,"HGM",0.0240367532606
"535",535,"UIZ",0.0365652630822
"536",536,"COY",0.0308625913848
"537",537,"BJU",0.027332593212
"538",538,"MCM",0.0111314365115
"539",539,"BJU",0.0157502433418
"540",540,"COY",0.0658360000678
"541",541,"CCA",0.0560357046638
"542",542,"DIC",0.0572249047035
"543",543,"MCM",0.0354701595446
"544",544,"HGM",0.0241320795821
"545",545,"MER",0.0157705567107
"546",546,"TEC",0.0180862037504
"547",547,"HGM",0.0216500081793
"548",548,"MCM",0.0321366320964
"549",549,"MCM",0.0355863215366
"550",550,"NEZ",0.0288868263102
"551",551,"MCM",0.0357976657766
"552",552,"CCA",0.0229967224031
"553",553,"MGH",0.0343419816989
"554",554,"DIC",0.0413902841431
"555",555,"MGH",0.035691228225
"556",556,"HGM",0.0210670248839
"557",557,"MGH",0.0350458911718
"558",558,"COR",0.0811516541377
"559",559,"BJU",0.0366410216722
"560",560,"MCM",0.0224718567404
"561",561,"HGM",0.0244913239715
"562",562,"MER",0.0242073065166
"563",563,"HGM",0.0241024061219
"564",564,"HGM",0.0237888743556
"565",565,"HGM",0.0189736933407
"566",566,"MCM",0.0172183870392
"567",567,"MCM",0.0284440027263
"568",568,"BJU",0.0327319720185
"569",569,"MER",0.0137775337416
"570",570,"HGM",0.021062069563
"571",571,"CCA",0.01754391385
"572",572,"CCA",0.0308705205211
"573",573,"SHA",0.0260554242792
"574",574,"PED",0.0453243211083
"575",575,"MCM",0.0358208181673
"576",576,"MCM",0.0251870730763
"577",577,"MCM",0.0150420128833
"578",578,"DIC",0.0413319597593
"579",579,"MER",0.0218417198198
"580",580,"COY",0.0397392653932
