ID,estacion,Distance
446,BJU,0.021504939
447,CCA,0.015321477
448,UIZ,0.017377003
449,MCM,0.010328499
450,SFE,0.018875798
451,LPR,0.019305739
452,HGM,0.012517098
453,MCM,0.019078533
454,MCM,0.018948907
455,MCM,0.006820318
456,MCM,0.009987289
457,CCA,0.021497303
458,LAA,0.028176758
459,MCM,0.009571496
460,PED,0.035203369
461,NEZ,0.045587598
462,BJU,0.019942284
463,MCM,0.019492519
464,UIZ,0.034525428
465,UIZ,0.019871923
466,SHA,0.02467213
467,UAX,0.024479208
468,HGM,0.01734641
469,MCM,0.003179899
470,SJA,0.040847047
471,UIZ,0.012194075
472,MCM,0.01446876
473,MCM,0.008769426
474,DIC,0.030992874
475,MCM,0.023422061
476,HGM,0.017759889
477,HGM,0.025838229
478,HGM,0.024136342
479,HGM,0.020861316
480,MCM,0.018955145
481,MCM,0.009583675
482,MCM,0.010873308
483,MCM,0.01932316
484,MCM,0.009480718
485,HGM,0.020844877
486,MCM,0.013587493
487,HGM,0.020848723
488,BJU,0.002685577
489,UAX,0.029063484
490,MCM,0.009802881
491,IZT,0.025412654
492,MGH,0.027248353
493,MCM,0.00260912
494,MCM,0.016714068
495,MGH,0.023219063
496,MCM,0.023797904
497,MGH,0.022489293
498,MGH,0.023329279
499,MCM,0.008165105
500,MCM,0.007070073
501,MCM,0.007882548
502,MCM,0.009048292
503,HGM,0.021798032
504,MCM,0.019588216
505,HGM,0.019488552
506,COY,0.017298874
507,COR,0.008307496
508,MCM,0.00377891
509,MCM,0.017205638
510,MCM,0.015772174
511,NEZ,0.044509735
512,MER,0.015614713
513,MCM,0.023489569
514,MER,0.007930493
515,MER,0.007766893
516,MER,0.002410325
517,HGM,0.021512717
518,COY,0.018211082
519,HGM,0.021487263
520,MCM,0.003118551
521,MCM,0.009570771
522,CCA,0.018656224
523,HGM,0.021496415
524,LAA,0.03372772
525,HGM,0.021072549
526,MCM,0.011211275
527,MCM,0.014511512
528,UIZ,0.016347099
529,HGM,0.014105345
530,MCM,0.016666234
531,PED,0.019691253
532,COR,0.030811323
533,MCM,0.013591206
534,MCM,0.023395408
535,UAX,0.027201271
536,BJU,0.028569029
537,HGM,0.025430419
538,MER,0.00404533
539,COY,0.008938292
540,UAX,0.010786704
541,UAX,0.020874884
542,UAX,0.032037269
543,HGM,0.021645853
544,MCM,0.023392043
545,MCM,0.003733824
546,GAM,0.005317699
547,BJU,0.019567938
548,HGM,0.021327303
549,HGM,0.021397796
550,UIZ,0.028332961
551,HGM,0.021839768
552,COY,0.01256973
553,BJU,0.020257791
554,PED,0.016777403
555,HGM,0.015269733
556,MCM,0.01930388
557,BJU,0.019940362
558,UAX,0.048553843
559,IZT,0.010018042
560,HGM,0.021668618
561,MCM,0.01349242
562,MCM,0.011575551
563,MCM,0.019418931
564,MCM,0.019010821
565,MCM,0.016478391
566,HGM,0.01591367
567,HGM,0.021881397
568,IZT,0.01054911
569,MCM,0.005421885
570,MCM,0.019307674
571,COY,0.015588602
572,COY,0.015313017
573,MGH,0.023870653
574,SFE,0.025869357
575,HGM,0.021833542
576,HGM,0.021208926
577,MER,0.007616126
578,PED,0.016633422
579,MCM,0.009568947
580,IZT,0.032248175
581,HGM,0.011294247
582,HGM,0.005855591
583,MCM,0.008760697
584,MGH,0.027266867
585,HGM,0.023449278
586,EAJ,0.062780512
587,IZT,0.005092056
588,MER,0.005364872
589,MCM,0.002925927
590,DIC,0.020946779
591,MCM,0.013506157
592,BJU,0.021203206
593,MCM,0.002885411
594,MCM,0.010368961
595,MCM,0.009569712
596,HGM,0.020499722
597,HGM,0.020596241
598,HGM,0.018564588
599,MGH,0.023878164
600,MCM,0.004205009
601,MCM,0.016764596
602,HGM,0.015249334
603,UAX,0.030183348
604,MCM,0.009570511
605,MER,0.007838868
606,BJU,0.002586907
607,HGM,0.020491631
608,MER,0.006762028
609,HGM,0.021118877
610,UIZ,0.018431769
611,HGM,0.02091797
612,MER,0.007806186
613,MCM,0.019448487
614,MER,0.025706367
615,HGM,0.019459265
616,HGM,0.020917588
617,MER,0.00452073
618,HGM,0.015897492
619,BJU,0.016879321
620,HGM,0.020207534
621,IZT,0.022611373
622,MCM,0.009575659
623,HGM,0.020951249
624,CCA,0.018670083
625,HGM,0.02353989
626,HGM,0.026286314
627,MCM,0.003258708
628,MCM,0.003673131
629,MCM,0.009575141
630,UIZ,0.027030664
631,CCA,0.015370811
632,UIZ,0.021901734
633,MCM,0.014360621
634,LPR,0.027251478
635,HGM,0.015330765
636,MCM,0.018942451
637,MCM,0.019305472
638,MCM,0.012150636
639,MCM,0.013691826
640,MCM,0.016274334
641,MCM,0.021985211
642,HGM,0.02109719
643,MCM,0.002961509
644,GAM,0.015782502
645,AJU,0.057556186
646,UIZ,0.013378484
647,MCM,0.018567279
648,MCM,0.002512093
