"","Asunto","Latitud","Longitud","fecha","date","day","hour","month"
"88","MCH - Marcha",19.433367466534,-99.154484944315,2014-01-30,2014-01-30 15:05:00,"Thurs",15,"Jan"
"89","MNF - Manifestacion",19.4322534272891,-99.1599642264587,2014-01-30,2014-01-30 16:29:00,"Thurs",16,"Jan"
"90","MCH - Marcha",19.43187,-99.15696,2014-01-30,2014-01-30 17:49:00,"Thurs",17,"Jan"
"91","MNF - Manifestacion",19.4883244,-99.135637,2014-01-30,2014-01-30 18:08:00,"Thurs",18,"Jan"
"92","MNF - Manifestacion",19.396354918206,-99.0951730989501,2014-01-30,2014-01-30 18:10:00,"Thurs",18,"Jan"
"93","MNF - Manifestacion",19.4359047686386,-99.1523006132141,2014-01-30,2014-01-30 21:12:00,"Thurs",21,"Jan"
"94","MNF - Manifestacion",19.4254262,-99.1474328,2014-01-30,2014-01-30 21:16:00,"Thurs",21,"Jan"
"95","MCH - Marcha",19.430736390064,-99.1598252402283,2014-01-31,2014-01-31 10:01:00,"Fri",10,"Jan"
"96","MCH - Marcha",19.432982519041,-99.1546163903213,2014-01-31,2014-01-31 10:08:00,"Fri",10,"Jan"
"97","MNF - Manifestacion",19.371027349729,-99.1611540240341,2014-01-31,2014-01-31 11:19:00,"Fri",11,"Jan"
"98","MNF - Manifestacion",19.4325927841262,-99.1331926944428,2014-01-31,2014-01-31 12:40:00,"Fri",12,"Jan"
"99","MNF - Manifestacion",19.4282650049627,-99.1659087593078,2014-01-31,2014-01-31 12:50:00,"Fri",12,"Jan"
"100","MCH - Marcha",19.434194699947,-99.140932780304,2014-01-31,2014-01-31 14:05:00,"Fri",14,"Jan"
"101","MCH - Marcha",19.4259879153831,-99.1330381588302,2014-01-31,2014-01-31 16:00:00,"Fri",16,"Jan"
"102","MNF - Manifestacion",19.4376885250526,-99.1335232945122,2014-01-08,2014-01-08 13:00:00,"Wed",13,"Jan"
"103","MNF - Manifestacion",19.3761984254833,-99.0596043673676,2014-01-02,2014-01-02 15:40:00,"Thurs",15,"Jan"
"104","MCH - Marcha",19.4353203914567,-99.1498162565613,2014-01-08,2014-01-08 16:45:00,"Wed",16,"Jan"
"105","MCH - Marcha",19.4353408,-99.1493462,2014-01-08,2014-01-08 17:30:00,"Wed",17,"Jan"
"106","MCH - Marcha",19.43565,-99.1501248,2014-01-08,2014-01-08 19:47:00,"Wed",19,"Jan"
"107","MCH - Marcha",19.356673659719,-99.0866058664703,2014-01-08,2014-01-08 19:49:00,"Wed",19,"Jan"
"108","MNF - Manifestacion",19.4317728370843,-99.1593526828033,2014-01-02,2014-01-02 16:57:00,"Thurs",16,"Jan"
"109","MCH - Marcha",19.431221421308,-99.1595994460327,2014-01-02,2014-01-02 17:54:00,"Thurs",17,"Jan"
"110","MNF - Manifestacion",19.4293754366962,-99.1639857477852,2014-01-09,2014-01-09 11:08:00,"Thurs",11,"Jan"
"111","MNF - Manifestacion",19.4270154303798,-99.1676201410004,2014-01-02,2014-01-02 18:15:00,"Thurs",18,"Jan"
"112","MCH - Marcha",19.3729385011548,-99.0402808595244,2014-01-09,2014-01-09 14:21:00,"Thurs",14,"Jan"
"113","MNF - Manifestacion",19.4332630772152,-99.1324389937096,2014-01-09,2014-01-09 14:27:00,"Thurs",14,"Jan"
"114","MNF - Manifestacion",19.3558154,-99.0856748,2014-01-09,2014-01-09 17:12:00,"Thurs",17,"Jan"
"115","MNF - Manifestacion",19.434983829025,-99.1440904950065,2014-01-10,2014-01-10 10:37:00,"Fri",10,"Jan"
"116","MNF - Manifestacion",19.4290732,-99.1638303,2014-01-10,2014-01-10 12:16:00,"Fri",12,"Jan"
"117","MNF - Manifestacion",19.4265610402106,-99.1674238980866,2014-01-11,2014-01-11 09:42:00,"Sat",9,"Jan"
"118","MNF - Manifestacion",19.4035058069728,-99.1364378403061,2014-01-03,2014-01-03 10:26:00,"Fri",10,"Jan"
"119","MCH - Marcha",19.4343464250571,-99.1413921927376,2014-01-01,2014-01-01 13:23:00,"Wed",13,"Jan"
"120","MNF - Manifestacion",19.4320110180707,-99.1342226627045,2014-01-13,2014-01-13 10:17:00,"Mon",10,"Jan"
"121","MCH - Marcha",19.4500806952434,-99.1384949298859,2014-01-01,2014-01-01 13:53:00,"Wed",13,"Jan"
"122","MNF - Manifestacion",19.4333137934178,-99.1880730445053,2014-01-13,2014-01-13 12:07:00,"Mon",12,"Jan"
"123","MNF - Manifestacion",19.4261598084558,-99.1288372657318,2014-01-03,2014-01-03 15:41:00,"Fri",15,"Jan"
"124","MNF - Manifestacion",19.4349888877766,-99.1440878127975,2014-01-14,2014-01-14 12:23:00,"Tues",12,"Jan"
"125","MNF - Manifestacion",19.4320129308259,-99.1342275629452,2014-01-14,2014-01-14 15:17:00,"Tues",15,"Jan"
"126","MNF - Manifestacion",19.4322483684523,-99.1599749552948,2014-01-14,2014-01-14 17:22:00,"Tues",17,"Jan"
"127","MNF - Manifestacion",19.4257223749007,-99.192184322493,2014-01-14,2014-01-14 18:00:00,"Tues",18,"Jan"
"128","MNF - Manifestacion",19.3877453,-99.1774839,2014-01-14,2014-01-14 19:26:00,"Tues",19,"Jan"
"129","MNF - Manifestacion",19.3358681382,-99.1697791878315,2014-01-15,2014-01-15 09:07:00,"Wed",9,"Jan"
"130","MNF - Manifestacion",19.3852163610414,-99.157437725409,2014-01-15,2014-01-15 09:41:00,"Wed",9,"Jan"
"131","MNF - Manifestacion",19.4376863,-99.1335217,2014-01-15,2014-01-15 10:57:00,"Wed",10,"Jan"
"132","MNF - Manifestacion",19.29751,-99.18544,2014-01-15,2014-01-15 11:18:00,"Wed",11,"Jan"
"133","MNF - Manifestacion",19.4179834,-99.084776,2014-01-15,2014-01-15 11:57:00,"Wed",11,"Jan"
"134","MNF - Manifestacion",19.4190948750703,-99.1132286539978,2014-01-15,2014-01-15 13:46:00,"Wed",13,"Jan"
"135","MNF - Manifestacion",19.4450181251737,-99.1454410627128,2014-01-15,2014-01-15 17:31:00,"Wed",17,"Jan"
"136","MNF - Manifestacion",19.3213607088195,-99.2204825665199,2014-01-16,2014-01-16 10:56:00,"Thurs",10,"Jan"
"137","MNF - Manifestacion",19.4319149,-99.133418,2014-01-16,2014-01-16 11:38:00,"Thurs",11,"Jan"
"138","MNF - Manifestacion",19.4349686527691,-99.1440824483795,2014-01-16,2014-01-16 13:25:00,"Thurs",13,"Jan"
"139","MNF - Manifestacion",19.2951674618786,-99.1802162904906,2014-01-16,2014-01-16 14:30:00,"Thurs",14,"Jan"
"140","MNF - Manifestacion",19.4244663,-99.1397317,2014-01-16,2014-01-16 14:41:00,"Thurs",14,"Jan"
"141","MNF - Manifestacion",19.4349863584008,-99.1440878127975,2014-01-04,2014-01-04 11:03:00,"Sat",11,"Jan"
"142","MNF - Manifestacion",19.4271973187479,-99.1158473540452,2014-01-17,2014-01-17 09:29:00,"Fri",9,"Jan"
"143","MNF - Manifestacion",19.4254262,-99.1474328,2014-01-17,2014-01-17 11:58:00,"Fri",11,"Jan"
"144","MNF - Manifestacion",19.4350517606697,-99.1500425898742,2014-01-17,2014-01-17 15:44:00,"Fri",15,"Jan"
"145","MNF - Manifestacion",19.43286563993,-99.1508156629517,2014-01-17,2014-01-17 17:08:00,"Fri",17,"Jan"
"146","MCH - Marcha",19.434758243786,-99.1442091944123,2014-01-18,2014-01-18 16:07:00,"Sat",16,"Jan"
"147","MNF - Manifestacion",19.4265398836921,-99.1674833483406,2014-01-18,2014-01-18 17:00:00,"Sat",17,"Jan"
"148","MNF - Manifestacion",19.3972976826794,-99.0726936588954,2014-01-04,2014-01-04 17:13:00,"Sat",17,"Jan"
"149","MNF - Manifestacion",19.3965408714085,-99.0953662179992,2014-01-04,2014-01-04 17:17:00,"Sat",17,"Jan"
"150","MNF - Manifestacion",19.4319149,-99.133418,2014-01-19,2014-01-19 12:10:00,"Sun",12,"Jan"
"151","MNF - Manifestacion",19.4880140341671,-99.1094929865692,2014-01-19,2014-01-19 12:52:00,"Sun",12,"Jan"
"152","MNF - Manifestacion",19.4274505037897,-99.16792054841,2014-01-19,2014-01-19 14:34:00,"Sun",14,"Jan"
"153","MCH - Marcha",19.4321957700972,-99.147987609787,2014-01-19,2014-01-19 16:30:00,"Sun",16,"Jan"
"154","MNF - Manifestacion",19.4000922578546,-99.0934003393341,2014-01-20,2014-01-20 07:28:00,"Mon",7,"Jan"
"155","MNF - Manifestacion",19.4367227,-99.1542248,2014-01-31,2014-01-31 18:26:00,"Fri",18,"Jan"
"156","MNF - Manifestacion",19.4373759317631,-99.1464360542008,2014-01-31,2014-01-31 19:54:00,"Fri",19,"Jan"
